日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=8016.9300,=9756.6400,=3958189908449.0791,=3201605717750,=1903977483557.1550,=3.2153,=0.1026,=5.2269,=4.2545,=3.6188
2025-07-08,=7973.5000,=9702.4100,=3934993191433.9199,=3182874399084,=1892585737974.5330,=3.1942,=0.1005,=5.2269,=4.2546,=3.6189
2025-07-07,=7940.7700,=9662.5900,=3924264042700.7788,=3171389952397,=1884146354047.7720,=3.1855,=0.0998,=5.2269,=4.2547,=3.6198
2025-07-04,=8043,=9786.9800,=3978743396579.0688,=3211572740439,=1908821486369.3057,=3.2297,=0.1042,=5.2274,=4.2547,=3.6198
2025-07-03,=8023.3800,=9756.1400,=3969317580214.1992,=3200778821661,=1903881661506.3215,=3.2157,=0.1022,=5.2274,=4.2548,=3.6223
2025-07-02,=7950.2800,=9667.2500,=3935766757080.0400,=3174397100353,=1886419501390.6736,=3.1885,=0.0999,=5.2274,=4.2549,=3.6224
2025-07-01,=8013.4600,=9744.0700,=3978592925975.4399,=3197523713545,=1901331562135.3921,=3.2232,=0.1025,=5.2274,=4.2550,=3.6225
2025-06-30,=7928.4900,=9640.7500,=3930319372103.9097,=3166228253236,=1880799952878.2600,=3.1841,=0.0992,=5.2274,=4.2551,=3.6227
2025-06-27,=7871.0800,=9565.4600,=3914690414847.7109,=3151719959172,=1866687171719.4160,=3.1648,=0.0956,=5.2340,=4.2552,=3.6227
2025-06-26,=7864.3000,=9556.1700,=3933665152343.3701,=3148072461472,=1865022542520.3811,=3.1796,=0.0979,=5.2340,=4.2553,=3.6229
2025-06-25,=7944.6600,=9652.7300,=3966426062610.8501,=3173414650069,=1882878180379.6169,=3.2051,=0.1008,=5.2340,=4.2555,=3.6231
2025-06-24,=7878.3600,=9570.7300,=3936880546528.9209,=3151141680660,=1868705475517.4331,=3.1800,=0.0980,=5.2340,=4.2556,=3.6236
2025-06-23,=7803.7400,=9480.0800,=3899863190184.7988,=3124349418612,=1850781482179.3315,=3.1501,=0.0931,=5.2340,=4.2558,=3.6250
2025-06-20,=7775.2700,=9445.5000,=3878836486024.2100,=3113801295984,=1843502862649.7756,=3.1331,=0.0910,=5.2423,=4.2559,=3.6250
2025-06-19,=7769.0600,=9436.5100,=3878411674844.9302,=3110741156785,=1841984132640.4741,=3.1316,=0.0908,=5.2423,=4.2560,=3.6253
2025-06-18,=7852.2600,=9534.5600,=3919433114632.3901,=3143357372335,=1861629407549.8623,=3.1614,=0.0945,=5.2423,=4.2564,=3.6255
2025-06-17,=7913.3300,=9605.3300,=3947907969416.7305,=3167905870803,=1876084289101.1135,=3.1811,=0.0973,=5.2423,=4.2568,=3.6267
2025-06-16,=8044.5500,=9760.0200,=4022635299365.3188,=3220630885975,=1907617236440.2351,=3.2368,=0.1020,=5.2423,=4.2569,=3.6288
2025-06-13,=8115.1200,=9845.6400,=3775975786663.3501,=3289404647198,=1944581833743.9065,=3.0389,=0.0721,=5.2427,=4.2570,=3.6288
2025-06-12,=8264.2700,=10021.3600,=3848446914692.7090,=3347098173023,=1979889735625.8083,=3.0926,=0.0847,=5.2427,=4.2572,=3.6299
2025-06-11,=8152.8100,=9886.2100,=3797221892282.6812,=3309085221181,=1952732330354.4451,=3.0515,=0.0778,=5.2427,=4.2575,=3.6306
2025-06-10,=8176.9000,=9909.7700,=3810367056241.6294,=3316986128695,=1958106579953.2104,=3.0568,=0.0793,=5.2427,=4.2578,=3.6318
2025-06-09,=8155.5700,=9883.0600,=3801128326078.0991,=3311460713287,=1953132722675.0896,=3.0479,=0.0763,=5.2427,=4.2581,=3.6320
2025-06-06,=8043.9700,=9747.8200,=3746315953303.0781,=3271065155036,=1926903596685.4573,=3.0040,=0.0634,=5.2436,=4.2585,=3.6320
2025-06-05,=8093.1600,=9806.3600,=3770670158427.9702,=3292379765364,=1938936704594.7859,=3.0223,=0.0688,=5.2436,=4.2588,=3.6349
2025-06-04,=8168.1200,=9891.7700,=3798896443647.2002,=3312280638321,=1956380033704.5137,=3.0401,=0.0724,=5.2436,=4.2589,=3.6350
2025-06-03,=8109.5300,=9820.0800,=3773012568989.2900,=3293810175605,=1942824029321.3943,=3.0188,=0.0670,=5.2436,=4.2589,=3.6378
