日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=7871.8600,=10756.9700,=1818241453982.6504,=1572593864983,=795427326511.9301,=0.7719,=0.0797,=1.8548,=1.1822,=0.9048
2025-07-08,=7872.9800,=10747.3800,=1816414772188.1001,=1570757494513,=796174073939.1501,=0.7704,=0.0781,=1.8551,=1.1824,=0.9048
2025-07-07,=7816.9600,=10670.9100,=1802376756196.9397,=1558629457173,=787642671398.9302,=0.7645,=0.0713,=1.8551,=1.1826,=0.9051
2025-07-04,=7771.4500,=10608.5600,=1791891075846.2002,=1549336836804,=782578969685.8701,=0.7600,=0.0613,=1.8551,=1.1827,=0.9051
2025-07-03,=7771.7400,=10608.9500,=1790622984153.5400,=1548187222083,=781950348707.9301,=0.7595,=0.0601,=1.8551,=1.1828,=0.9083
2025-07-02,=7790.8800,=10634.9700,=1793362302391.7795,=1550106611147,=783743441221.6299,=0.7606,=0.0618,=1.8551,=1.1828,=0.9091
2025-07-01,=7694.0800,=10502.8300,=1771975604744.2998,=1530883429045,=772178515543.6500,=0.7515,=0.0437,=1.8570,=1.1828,=0.9091
2025-06-30,=7705.5100,=10509.5300,=1777296038326.2300,=1535275823092,=773666617591.5900,=0.7530,=0.0458,=1.8570,=1.1829,=0.9091
2025-06-27,=7712.0300,=10514.8600,=1778256985327.6899,=1536787734835,=774321377767.1801,=0.7533,=0.0458,=1.8570,=1.1829,=0.9100
2025-06-26,=7695.0200,=10489.0300,=1776538012803.5798,=1535346724585,=772928097161.9698,=0.7524,=0.0450,=1.8570,=1.1830,=0.9106
2025-06-25,=7726.5300,=10523.8100,=1781369355486.1399,=1539357847965,=774829754151.7500,=0.7543,=0.0470,=1.8570,=1.1832,=0.9124
2025-06-24,=7674.4700,=10450.6000,=1771921646735.4500,=1531176812382,=771353795446.2501,=0.7501,=0.0406,=1.8584,=1.1833,=0.9124
2025-06-23,=7531.3500,=10255.7000,=1738728452565.9399,=1502842755054,=757428143837.7202,=0.7361,=0.0225,=1.8584,=1.1833,=0.9144
2025-06-20,=7515.1800,=10231.7000,=1734001136827.7705,=1483237156357,=755439450672.3899,=0.7340,=0.0181,=1.8584,=1.1833,=0.9147
2025-06-19,=7518.8400,=10232.2800,=1734232985957.2302,=1482643679479,=755556544808.3099,=0.7340,=0.0177,=1.8584,=1.1834,=0.9151
2025-06-18,=7639.1100,=10395.9500,=1761655364609.3103,=1506023280360,=767947278285.6901,=0.7456,=0.0318,=1.8584,=1.1835,=0.9156
2025-06-17,=7666.7100,=10433.5100,=1768469545468.7100,=1512003980992,=770994501486.4601,=0.7485,=0.0359,=1.8609,=1.1837,=0.9156
