日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=1891,=3011.3600,=1620443143070.0400,=1343161384996,=366375387160.6500,=1.4708,=0.7275,=1.5508,=1.3213,=1.1113
2025-07-08,=1880.5900,=2994.7800,=1622177837119.6802,=1344122104755,=365404771921.0200,=1.4719,=0.7294,=1.5508,=1.3212,=1.1113
2025-07-07,=1871.7600,=2980.7200,=1617976162416.2000,=1340449362933,=364157221581.2300,=1.4681,=0.7265,=1.5511,=1.3211,=1.1107
2025-07-04,=1883.1600,=2981.7700,=1683963998029.1799,=1396398644158,=373025049100.4000,=1.4682,=0.7268,=1.5511,=1.3210,=1.1107
2025-07-03,=1882.7700,=2981.1600,=1670806894972.1599,=1385747574919,=371663551585.5900,=1.4567,=0.7152,=1.5511,=1.3210,=1.1107
2025-07-02,=1894.5600,=2999.8200,=1698606531826.1699,=1409035568681,=376096701042.4000,=1.4809,=0.7355,=1.5511,=1.3207,=1.1107
2025-07-01,=1858.4200,=2942.5900,=1668149283303.5098,=1383608119928,=369353930810.4300,=1.4544,=0.7129,=1.5511,=1.3203,=1.1107
2025-06-30,=1860.7000,=2944.4100,=1661756197252.6899,=1378391551081,=368778466509.0200,=1.4477,=0.7062,=1.5512,=1.3203,=1.1107
2025-06-27,=1859.1200,=2941.9100,=1650241051726.7800,=1369163596254,=367492086653.5200,=1.4377,=0.6913,=1.5512,=1.3203,=1.1107
2025-06-26,=1839.6000,=2911.0300,=1644205439290.3601,=1363405393409,=364588234484.9500,=1.4324,=0.6817,=1.5512,=1.3202,=1.1107
2025-06-25,=1849.5200,=2926.7200,=1651934383792.4099,=1369728776536,=366239824399.1500,=1.4392,=0.6935,=1.5512,=1.3202,=1.1107
2025-06-24,=1864.9600,=2928.9800,=1661950057588.6699,=1380745924597,=371035862035.9401,=1.4326,=0.6823,=1.5512,=1.3201,=1.1107
2025-06-23,=1872.4700,=2940.7800,=1667430130490.6702,=1384931832307,=372263188143.7800,=1.4374,=0.6904,=1.5518,=1.3200,=1.1106
2025-06-20,=1843.2100,=2894.8100,=1641260777809.5798,=1362002882818,=365698702452.3400,=1.4148,=0.6631,=1.5518,=1.3198,=1.1106
2025-06-19,=1841.3200,=2891.8500,=1636100556489.7100,=1358310966615,=365061209087.9800,=1.4103,=0.6568,=1.5518,=1.3197,=1.1106
2025-06-18,=1866.8600,=2931.6800,=1645803613785.7100,=1366415301375,=368451349438.3201,=1.4186,=0.6686,=1.5518,=1.3197,=1.1106
2025-06-17,=1887.2600,=2953.3000,=1662272976604.7900,=1379005862875,=372001179088.2300,=1.4262,=0.6763,=1.5518,=1.3197,=1.1106
2025-06-16,=1872.8000,=2930.6800,=1641812669075.9800,=1362649517366,=368423135290.4700,=1.4086,=0.6568,=1.5520,=1.3195,=1.1103
2025-06-13,=1868.2300,=2923.5300,=1686440071796.8899,=1406786286395,=399550025217.9300,=1.3807,=0.6121,=1.5520,=1.3193,=1.1103
2025-06-12,=1878.0400,=2925.6300,=1686490584564.3503,=1407721999419,=400632934422.7300,=1.3761,=0.6016,=1.5520,=1.3191,=1.1103
2025-06-11,=1895.1600,=2952.3000,=1709016797309.4600,=1426892891076,=405320445344.1800,=1.3945,=0.6333,=1.5520,=1.3189,=1.1103
2025-06-10,=1880.1900,=2928.9800,=1698962835468.9399,=1418817496899,=402582958024.3999,=1.3863,=0.6228,=1.5520,=1.3188,=1.1103
2025-06-09,=1886.1300,=2938.2300,=1698925547120.1001,=1419523209255,=403561580208.2401,=1.3862,=0.6226,=1.5521,=1.3186,=1.1101
2025-06-06,=1882.8300,=2925.3600,=1698340287656.8201,=1418806471586,=402999341489.1199,=1.3842,=0.6192,=1.5521,=1.3186,=1.1101
