日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=2144.5300,=2514.1300,=782403846949.2500,=669789963948,=418327379688.0921,=2.5981,=0.0919,=4.3128,=3.4334,=2.7837
2025-07-08,=2132.8800,=2500.4700,=773304712374.5599,=663610605013,=413605912430.0861,=2.5678,=0.0771,=4.3128,=3.4334,=2.7845
2025-07-07,=2129.0300,=2495.8600,=771851539449.8799,=662482439199,=412858274584.7680,=2.5628,=0.0746,=4.3128,=3.4335,=2.7865
2025-07-04,=2131.1800,=2498.3800,=776127924445.4100,=666186013168,=414874731930.0620,=2.5770,=0.0804,=4.3128,=3.4335,=2.7865
2025-07-03,=2128.1300,=2494.8000,=773798468586.7900,=664567556261,=413826416402.2481,=2.5693,=0.0776,=4.3128,=3.4335,=2.7880
2025-07-02,=2115.0200,=2479.4300,=766646496845.6699,=658964228868,=410038586390.3700,=2.5455,=0.0702,=4.3130,=3.4336,=2.7880
2025-07-01,=2099.1400,=2460.8100,=760052536097.4597,=653606798968,=406584089407.1380,=2.5236,=0.0661,=4.3130,=3.4338,=2.7893
2025-06-30,=2088.0800,=2447.4600,=756363996627.4001,=637428649121,=404895252140.0020,=2.5110,=0.0620,=4.3130,=3.4339,=2.7896
2025-06-27,=2083.0600,=2441.5700,=753578329183.2802,=635320316582,=403349464498.9401,=2.5018,=0.0599,=4.3130,=3.4340,=2.7901
2025-06-26,=2082.9900,=2437.0100,=755693599966.1101,=637044039862,=404591538188.9860,=2.4936,=0.0567,=4.3130,=3.4340,=2.7912
2025-06-25,=2096.4000,=2449.1000,=759377368299.0099,=640273572737,=406147284678.2980,=2.4803,=0.0517,=4.3146,=3.4340,=2.7912
2025-06-24,=2091.3500,=2443.2000,=756985457189.2802,=638455555654,=404861249630.3379,=2.4725,=0.0480,=4.3146,=3.4341,=2.7928
2025-06-23,=2070.4500,=2418.7900,=751252660691.5900,=633467569137,=401788604370.3501,=2.4537,=0.0402,=4.3146,=3.4343,=2.7948
2025-06-20,=2070.2600,=2415.4600,=753597890979.2799,=635270399656,=402701836146.0280,=2.4563,=0.0414,=4.3146,=3.4345,=2.7953
2025-06-19,=2071.2800,=2416.6500,=755662645545.2201,=636345678489,=403536438362.0460,=2.4631,=0.0439,=4.3146,=3.4345,=2.7959
2025-06-18,=2091.7900,=2440.5800,=753302223252.0699,=632534901902,=402400331858.4381,=2.4554,=0.0410,=4.3149,=3.4346,=2.7959
