日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=988.7900,=1335.7300,=851246789160.1797,=788733231511,=345319014977.5599,=0.9829,=0.3335,=1.4938,=1.0988,=0.9216
2025-07-08,=995.3000,=1344.2200,=856991383456.9000,=794079740279,=347881823905.8099,=0.9894,=0.3456,=1.4940,=1.0988,=0.9214
2025-07-07,=978.8500,=1322,=843968663959.0302,=782073653829,=342627847246.1399,=0.9743,=0.3177,=1.4940,=1.0989,=0.9214
2025-07-04,=977.8400,=1320.6300,=843085092206.5502,=780975048469,=341929611512.0499,=0.9733,=0.3150,=1.4940,=1.0990,=0.9214
2025-07-03,=972.2200,=1312.8500,=834733795136.6498,=772739815928,=339750447433.7900,=0.9636,=0.2971,=1.4940,=1.0990,=0.9214
2025-07-02,=972.4200,=1313.1200,=834000379287.8900,=771776082553,=339517782163.6999,=0.9627,=0.2960,=1.4940,=1.0993,=0.9214
2025-07-01,=939.1900,=1268.2500,=803274476112.2296,=743273713334,=327863182824.6800,=0.9274,=0.2151,=1.4947,=1.0995,=0.9213
2025-06-30,=930.9200,=1257.0800,=796839435682.0098,=737028935861,=325256098688.1301,=0.9199,=0.1959,=1.4947,=1.1003,=0.9213
2025-06-27,=925.7900,=1249.9300,=793649676149.7902,=734017268093,=323476767044.4299,=0.9162,=0.1807,=1.4947,=1.1012,=0.9214
2025-06-26,=920.6600,=1241.3100,=789706815367.5599,=730089798999,=321771796459.5800,=0.9108,=0.1575,=1.4947,=1.1014,=0.9216
2025-06-25,=928.3400,=1251.3000,=793108090326.4399,=733198080106,=323663991526.5499,=0.9144,=0.1736,=1.4947,=1.1016,=0.9218
2025-06-24,=920.8500,=1240.2700,=788958649132.8099,=729552214624,=321816699331.0401,=0.9093,=0.1536,=1.4948,=1.1021,=0.9218
2025-06-23,=910.7700,=1226.6900,=780248874018.8896,=721812374183,=318237978126.7199,=0.8993,=0.1267,=1.4948,=1.1026,=0.9218
2025-06-20,=912.5000,=1227.5700,=785466376081.2998,=725981528391,=319050044500.3100,=0.9035,=0.1360,=1.4948,=1.1026,=0.9218
2025-06-19,=911.6200,=1226.1300,=783010639486.0103,=723738134614,=318436921464.8400,=0.9005,=0.1296,=1.4948,=1.1026,=0.9220
2025-06-18,=923.5000,=1242.0100,=793797015386.8900,=733827572398,=322706660718.1199,=0.9128,=0.1643,=1.4948,=1.1031,=0.9223
2025-06-17,=931.5600,=1252.7000,=800181775072.8698,=739341065666,=325483380635.1800,=0.9201,=0.1938,=1.4949,=1.1037,=0.9223
2025-06-16,=929.0100,=1249.2700,=798056979290.4696,=737223307340,=324736239431.1701,=0.9177,=0.1846,=1.4949,=1.1043,=0.9223
2025-06-13,=930.0500,=1250.6700,=807653935908.1199,=747117283951,=331068569450.0700,=0.9248,=0.2060,=1.4949,=1.1050,=0.9225
2025-06-12,=938.2500,=1261.2800,=813388388618.4498,=752111619163,=333898805511.4201,=0.9311,=0.2207,=1.4949,=1.1051,=0.9225
2025-06-11,=940.7000,=1264.1900,=815638357881.4705,=754275442532,=334519079686.1299,=0.9336,=0.2264,=1.4949,=1.1052,=0.9225
2025-06-10,=932.2800,=1250.9700,=807805701627.1604,=747495834877,=331434543268.9398,=0.9223,=0.1998,=1.4958,=1.1054,=0.9223
2025-06-09,=936.1800,=1256.2100,=810021414884.0201,=749550730344,=332759737326.5501,=0.9249,=0.2060,=1.4958,=1.1057,=0.9225
2025-06-06,=929.6100,=1247.3400,=804814689852.8000,=745050570701,=330362366230.0301,=0.9189,=0.1887,=1.4958,=1.1057,=0.9225
2025-06-05,=926.6200,=1243.1600,=801988587363.2197,=741561022820,=329347450050.3599,=0.9156,=0.1758,=1.4958,=1.1057,=0.9225
2025-06-04,=929.4800,=1246.5500,=804439894355.6101,=743887326604,=330357879033.4401,=0.9182,=0.1860,=1.4958,=1.1058,=0.9225
2025-06-03,=918.9200,=1232.2600,=795434631565.9602,=735493614973,=326491181633.2200,=0.9078,=0.1497,=1.4960,=1.1059,=0.9225
2025-05-30,=932.4100,=1250.3500,=808526250602.9601,=747944494021,=331409366467.7799,=0.9227,=0.2007,=1.4960,=1.1065,=0.9225
2025-05-29,=932.8600,=1250.9600,=808329529035.5199,=747520877434,=331439740089.0599,=0.9225,=0.1996,=1.4960,=1.1071,=0.9225
2025-05-28,=929.7100,=1246.7400,=805496657647.3400,=744953048188,=330325103842.2800,=0.9193,=0.1891,=1.4960,=1.1072,=0.9226
2025-05-27,=934.8400,=1252.7300,=810027607950.5999,=749204541035,=332183816907.3501,=0.9241,=0.2022,=1.4960,=1.1072,=0.9228
2025-05-26,=941.2500,=1261.3100,=814784914158.9899,=754078941786,=334565357165.7301,=0.9296,=0.2128,=1.4973,=1.1073,=0.9226
2025-05-23,=939.8500,=1259.4400,=814608284282.5900,=753747286034,=334278312996.9601,=0.9294,=0.2121,=1.4973,=1.1074,=0.9226
2025-05-22,=945.4493,=1266.9500,=818263033271.0900,=757532630939,=336183382909.7500,=0.9335,=0.2219,=1.4973,=1.1075,=0.9226
2025-05-21,=954.4493,=1279.0100,=825332893375.6300,=764469797048,=339546112141.4298,=0.9416,=0.2439,=1.4973,=1.1076,=0.9226
2025-05-20,=955.5071,=1280.4300,=825761821649.0996,=764704133726,=339887484184.4501,=0.9421,=0.2444,=1.4973,=1.1081,=0.9226
2025-05-19,=956.5971,=1281.6900,=827055140927.5702,=765970336571,=340320627461.8800,=0.9434,=0.2486,=1.4981,=1.1085,=0.9225
2025-05-16,=948.5310,=1270.8900,=820459092425.7700,=759707388282,=337870717768.1900,=0.9359,=0.2251,=1.4981,=1.1092,=0.9225
2025-05-15,=951.9758,=1275.5000,=824519159115.9800,=763476477769,=339136173279.3899,=0.9405,=0.2415,=1.4981,=1.1099,=0.9225
2025-05-14,=959.0681,=1285,=830272232075.5299,=768931156445,=341575285664.9099,=0.9471,=0.2538,=1.4981,=1.1099,=0.9225
2025-05-13,=956.6240,=1281.7300,=827419744724.7800,=766286731702,=340682042375.0900,=0.9438,=0.2502,=1.4981,=1.1100,=0.9225
2025-05-12,=953.5400,=1277.6000,=824317820200.2300,=762999174096,=339450992394.3399,=0.9403,=0.2401,=1.4996,=1.1110,=0.9225
2025-05-09,=949.2900,=1271.9000,=821780541380.3700,=760838870437,=338154930731.3999,=0.9374,=0.2309,=1.4996,=1.1120,=0.9225
2025-05-08,=958.4400,=1281.3300,=829125799975.3798,=767586533510,=341201287003.5900,=0.9424,=0.2448,=1.4996,=1.1125,=0.9225
2025-05-07,=962.6500,=1286.9600,=834155156898.9302,=772266529995,=342838856588.6400,=0.9482,=0.2535,=1.4996,=1.1130,=0.9225
2025-05-06,=954.6600,=1276.2800,=827287333361.3202,=765513853638,=340130085533.4899,=0.9404,=0.2405,=1.4996,=1.1130,=0.9225
2025-04-30,=934.5900,=1249.4500,=810932027214.4200,=750895901227,=332924581957.4399,=0.9218,=0.1978,=1.5009,=1.1130,=0.9225
2025-04-29,=946.7900,=1265.7600,=820373126113.8398,=760104841009,=337355210332.7999,=0.9295,=0.2130,=1.5009,=1.1147,=0.9225
2025-04-28,=946.4200,=1265.2600,=820424580720.2899,=760005373345,=337516352117.7600,=0.9301,=0.2143,=1.5009,=1.1164,=0.9225
2025-04-25,=938.3200,=1254.4300,=809000802292.8199,=748620220702,=334307621289.2500,=0.9199,=0.1931,=1.5009,=1.1179,=0.9225
2025-04-24,=929.0600,=1242.0500,=801014710323.3900,=741364264220,=331010518530.5800,=0.9119,=0.1618,=1.5009,=1.1194,=0.9225
2025-04-23,=932.5500,=1244.1700,=803142468681.5602,=743286376713,=332164360523.3501,=0.9132,=0.1692,=1.5009,=1.1195,=0.9225
2025-04-22,=928.3300,=1238.5400,=802059673513.2001,=742584730190,=330736346825.5603,=0.9124,=0.1635,=1.5009,=1.1196,=0.9226
2025-04-21,=930.5000,=1241.4300,=805317746187.2599,=745562157023,=331841607224.5300,=0.9168,=0.1820,=1.5009,=1.1201,=0.9228
2025-04-18,=920.0900,=1227.5500,=796756285195.1200,=737974858953,=328485634065,=0.9095,=0.1555,=1.5009,=1.1205,=0.9230
2025-04-17,=914.9800,=1220.7200,=791136389279.5500,=730752047316,=324981467513.0601,=0.9037,=0.1379,=1.5009,=1.1207,=0.9232
2025-04-16,=914.5200,=1220.1100,=791327381055.7397,=731119486613,=325105910529.5101,=0.9040,=0.1396,=1.5015,=1.1209,=0.9232
2025-04-15,=920.1900,=1227.6800,=795387039510.2501,=735322931251,=326909030572.1202,=0.9086,=0.1516,=1.5015,=1.1217,=0.9232
2025-04-14,=930.1200,=1240.9200,=805105355045.4399,=744311266425,=330401977691.9101,=0.9198,=0.1893,=1.5015,=1.1225,=0.9237
2025-04-11,=917,=1223.4200,=794176223630.5503,=734034039791,=326190997475.1702,=0.9068,=0.1468,=1.5015,=1.1226,=0.9245
2025-04-10,=916.7900,=1223.1400,=794476918794.9902,=734986410130,=326090774709.6499,=0.9069,=0.1468,=1.5015,=1.1227,=0.9245
2025-04-09,=900.0500,=1200.8100,=783500289816.9001,=724893099761,=320872208476.5301,=0.8946,=0.1219,=1.5031,=1.1228,=0.9245
2025-04-08,=894.2700,=1193.0900,=779857572853.0898,=722029832503,=318819142981.1099,=0.8906,=0.1117,=1.5031,=1.1230,=0.9247
2025-04-07,=888.9500,=1186,=771956969413.8300,=715134681233,=316419853748.5600,=0.8816,=0.0895,=1.5031,=1.1234,=0.9249
2025-04-03,=982.4900,=1310.7900,=850257309006.3998,=787076033650,=348903860238.0101,=0.9688,=0.2888,=1.5031,=1.1238,=0.9254
2025-04-02,=976.5300,=1302.8400,=844759281193.0999,=781736822819,=346774436012.4199,=0.9626,=0.2787,=1.5031,=1.1239,=0.9254
2025-04-01,=983.7100,=1312.4200,=851026488067.6500,=787628112005,=349432801234.2000,=0.9697,=0.2895,=1.5040,=1.1240,=0.9249
2025-03-31,=969.3600,=1293.2800,=838697513094.0001,=775977219399,=344429295411.5200,=0.9553,=0.2649,=1.5040,=1.1246,=0.9249
2025-03-28,=982.4400,=1310.7200,=850473261067.0001,=786455414920,=349571214855.8301,=0.9624,=0.2782,=1.5040,=1.1252,=0.9249
2025-03-27,=991.9000,=1323.3400,=860054175224.2301,=795109756350,=352852219614.6699,=0.9734,=0.2977,=1.5040,=1.1254,=0.9249
2025-03-26,=1004.6100,=1340.3100,=869717493505.9198,=803862938638,=357017154024.4799,=0.9844,=0.3175,=1.5040,=1.1257,=0.9249
2025-03-25,=1006.7300,=1343.1300,=872251398280.3000,=806481877662,=357914635714.0899,=0.9875,=0.3239,=1.5048,=1.1258,=0.9247
2025-03-24,=1009.7700,=1347.1800,=875605902078.1700,=809976096454,=358970500156.6100,=0.9916,=0.3310,=1.5048,=1.1259,=0.9247
2025-03-21,=1013.1500,=1351.7000,=877077760250.9001,=811661237619,=360131868729.1100,=0.9936,=0.3365,=1.5048,=1.1263,=0.9247
2025-03-20,=1005.7300,=1341.8000,=870040681877.8499,=804251900191,=357225137454.8500,=0.9856,=0.3205,=1.5048,=1.1267,=0.9247
2025-03-19,=997.1600,=1330.3700,=862845069012.9900,=797352832231,=354401124518.2201,=0.9792,=0.3083,=1.5048,=1.1269,=0.9247
