日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=2128.7100,=2438.3500,=1511763725773.3604,=1334429007682,=872276323096.1859,=1.8855,=0.1685,=4.7384,=2.8015,=1.9111
2025-07-08,=2137.8300,=2448.8000,=1518372722139.0601,=1340759097839,=876019645158.4216,=1.9011,=0.1839,=4.7384,=2.8052,=1.9112
2025-07-07,=2035.6200,=2330.7300,=1443487155485.6899,=1275894397535,=833609691727.8839,=1.8056,=0.1070,=4.7384,=2.8079,=1.9114
2025-07-04,=2042.4900,=2338.6000,=1447401783428.1897,=1279123426949,=836505679794.5098,=1.8104,=0.1090,=4.7384,=2.8105,=1.9115
2025-07-03,=2056.0500,=2354.0600,=1455674187384.9402,=1287201265816,=842426832630.5598,=1.8207,=0.1111,=4.7384,=2.8108,=1.9119
2025-07-02,=2051.6400,=2348.7800,=1453340802832.1296,=1284072211776,=840367568476.4360,=1.8176,=0.1092,=4.7409,=2.8112,=1.9119
2025-07-01,=1993.8700,=2282.6500,=1409937722794.9099,=1247799604507,=817274974746.1942,=1.7633,=0.0919,=4.7409,=2.8113,=1.9143
2025-06-30,=2001.1000,=2290.9200,=1415906347121.2798,=1252940769243,=819958618545.0961,=1.7707,=0.0940,=4.7409,=2.8115,=1.9150
2025-06-27,=1955.6300,=2238.8700,=1381630091704.7100,=1224640255351,=801221562081.2681,=1.7279,=0.0781,=4.7409,=2.8153,=1.9150
2025-06-26,=1934.5200,=2214.6900,=1367345218532.0298,=1212129357406,=792493251088.0961,=1.7100,=0.0654,=4.7409,=2.8191,=1.9156
2025-06-25,=1955.8400,=2238.7500,=1380384711682.0898,=1223922234403,=799884517467.1921,=1.7259,=0.0762,=4.7447,=2.8209,=1.9156
2025-06-24,=1938.7100,=2219.1400,=1370257005812.7903,=1215182785058,=794493837165.9077,=1.7132,=0.0662,=4.7447,=2.8226,=1.9157
2025-06-23,=1907.2200,=2182.3600,=1346204900123.5300,=1194747974828,=781559159652.8721,=1.6817,=0.0482,=4.7447,=2.8234,=1.9157
2025-06-20,=1897.6000,=2171.3600,=1338691841021.0295,=1189366556569,=777500165996.4056,=1.6723,=0.0415,=4.7447,=2.8242,=1.9170
2025-06-19,=1890.6300,=2163.3700,=1333184525235.7200,=1183894621297,=774742215688.1761,=1.6654,=0.0375,=4.7447,=2.8315,=1.9170
2025-06-18,=1928.4600,=2206.1300,=1360969810668.1299,=1207802838738,=790373383427.8400,=1.6992,=0.0597,=4.7469,=2.8388,=1.9170
2025-06-17,=1919.4800,=2195.8500,=1354918315302.8999,=1203933400440,=786288589652.7040,=1.6916,=0.0530,=4.7469,=2.8431,=1.9175
2025-06-16,=1921.1500,=2197.7600,=1357199416076.3108,=1206126741070,=787205480188.0500,=1.6944,=0.0537,=4.7469,=2.8474,=1.9177
2025-06-13,=1911.4100,=2186.6200,=1348587173658.0601,=1200429862439,=780948044022.1838,=1.6861,=0.0497,=4.7469,=2.8485,=1.9180
2025-06-12,=1945.9700,=2220.5600,=1373253037838.1997,=1222777251727,=795480717500.4198,=1.7087,=0.0605,=4.7469,=2.8496,=1.9181
2025-06-11,=1953.8500,=2227.5200,=1381208440513.6704,=1229458424973,=798795985628.1799,=1.7161,=0.0619,=4.7520,=2.8505,=1.9181
2025-06-10,=1931.9900,=2202.6100,=1366255870728.7104,=1212642327691,=789784778109.5797,=1.6975,=0.0565,=4.7520,=2.8513,=1.9182
2025-06-09,=1953.1100,=2226,=1382968132846.2800,=1227231690352,=798215083602.2902,=1.7172,=0.0640,=4.7520,=2.8597,=1.9184
2025-06-06,=1930.3700,=2200.0800,=1365238907059.7598,=1211624910595,=788581278885.6802,=1.6952,=0.0539,=4.7520,=2.8682,=1.9191
2025-06-05,=1932.3300,=2202.3100,=1366147717816.4602,=1213059404677,=789403957704.3302,=1.6963,=0.0539,=4.7520,=2.8785,=1.9192
2025-06-04,=1922.7200,=2191.3600,=1357764842378.9099,=1205583564104,=785435313962.2899,=1.6859,=0.0493,=4.7559,=2.8887,=1.9192
2025-06-03,=1903.1700,=2169.0900,=1344921710922.1797,=1194293201102,=777298986424.9501,=1.6700,=0.0385,=4.7559,=2.8994,=1.9196
2025-05-30,=1906.6400,=2172.4000,=1347446535424.7205,=1195651698030,=778696599921.8899,=1.6723,=0.0399,=4.7559,=2.9101,=1.9203
2025-05-29,=1935.9700,=2204.7500,=1367118249426.3398,=1213352198022,=790632644727.8798,=1.6951,=0.0514,=4.7559,=2.9105,=1.9203
2025-05-28,=1914.9500,=2180.8100,=1351438583231.5903,=1199611118190,=781873928183.0200,=1.6756,=0.0419,=4.7559,=2.9109,=1.9208
2025-05-27,=1930.4400,=2197.4000,=1362540752266.8999,=1209262882668,=788252055646.0396,=1.6878,=0.0474,=4.7615,=2.9123,=1.9208
