日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=5441.9700,=6605.1400,=2447246017305.1802,=2099380661690,=1287393686837.0696,=2.2850,=0.3144,=3.1478,=2.6032,=2.1410
2025-07-08,=5556.5100,=6744.1600,=2509811206580.7500,=2151092469525,=1318843844691.0396,=2.3434,=0.3576,=3.1478,=2.6037,=2.1410
2025-07-07,=5497.7800,=6672.8800,=2487824604926.5903,=2132127191375,=1306388316498.7542,=2.3228,=0.3449,=3.1478,=2.6042,=2.1410
2025-07-04,=5546.8600,=6732.4500,=2512241306147.2988,=2153078134164,=1318752259485.8899,=2.3456,=0.3597,=3.1480,=2.6044,=2.1409
2025-07-03,=5631.3900,=6831.9100,=2548485343557.7500,=2184286008763,=1338276585427.2839,=2.3779,=0.3780,=3.1480,=2.6046,=2.1409
2025-07-02,=5621.4600,=6813.5700,=2545572162109.1411,=2182050698010,=1335222098236.8701,=2.3710,=0.3756,=3.1480,=2.6047,=2.1409
2025-07-01,=5571.2500,=6752.7100,=2519615616942.9404,=2160361477546,=1322338883811.6418,=2.3469,=0.3607,=3.1480,=2.6048,=2.1409
2025-06-30,=5489.1700,=6653.2200,=2479690102865.7695,=2125918521693,=1301868293811.2993,=2.3097,=0.3376,=3.1480,=2.6062,=2.1409
2025-06-27,=5490.0500,=6654.2900,=2483746373591.9199,=2128830661206,=1304723286279.6418,=2.3135,=0.3383,=3.1482,=2.6075,=2.1406
2025-06-26,=5389.2100,=6517.5400,=2429430228793.9897,=2083633205764,=1276958772404.3760,=2.2487,=0.2858,=3.1482,=2.6077,=2.1406
2025-06-25,=5376.7200,=6499.0700,=2417319559619.4702,=2073431650719,=1272055323321.2358,=2.2355,=0.2784,=3.1482,=2.6079,=2.1406
2025-06-24,=5335.3200,=6448.2000,=2397528586992.3003,=2057700091989,=1262182247019.5198,=2.2169,=0.2631,=3.1482,=2.6086,=2.1406
