日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=2036.4300,,=2683004328566.9302,=2447736776627,=1004651996562.2000,=1.8882,=0.6655,=1.9861,=1.7975,=1.5102
2025-07-08,=2036.0900,=3347.7296,=2681944997271.8101,=2445731010519,=1004288471122.9500,=1.8816,=0.6575,=1.9861,=1.7974,=1.5102
2025-07-07,=2044.8500,=3361.0740,=2697431783301.3496,=2460664470484,=1011028280850.6400,=1.8922,=0.6731,=1.9861,=1.7974,=1.5102
2025-07-04,=2009.0700,=3302.2605,=2661449919306.7490,=2428601665446,=998846828236.5699,=1.8669,=0.6306,=1.9861,=1.7974,=1.5102
2025-07-03,=1995.4000,=3279.7934,=2647324108516.1289,=2415929491801,=993838657132.4301,=1.8570,=0.6109,=1.9865,=1.7974,=1.5101
2025-07-02,=1998.7900,=3281.2329,=2656618905208.3096,=2424312589839,=996831870458.1298,=1.8571,=0.6111,=1.9865,=1.7973,=1.5101
2025-07-01,=1999.4000,=3282.2269,=2655035453846.7700,=2424689139788,=997796753291.7500,=1.8560,=0.6090,=1.9865,=1.7972,=1.5101
2025-06-30,=1978.3800,=3247.1137,=2626336262690.6211,=2396865291227,=988111015765.6500,=1.8355,=0.5708,=1.9865,=1.7970,=1.5101
2025-06-27,=1970.0900,=3233.5135,=2620715586733.9502,=2392678206807,=986168527465.9000,=1.8316,=0.5624,=1.9865,=1.7969,=1.5101
2025-06-26,=1985.3000,=3256.6350,=2661182972846.2202,=2429843618853,=1001889498064.7100,=1.8585,=0.6137,=1.9880,=1.7966,=1.5088
2025-06-25,=1987.0800,=3259.5541,=2655682827588.9492,=2423932160917,=998746690215.7400,=1.8546,=0.6064,=1.9880,=1.7963,=1.5088
2025-06-24,=1967.8900,=3227.3287,=2633014294852.0293,=2402918604175,=989636566160.3898,=1.8383,=0.5764,=1.9880,=1.7962,=1.5088
2025-06-23,=1958.2500,=3211.5216,=2627116175684.0405,=2398116122557,=987592039503.7100,=1.8342,=0.5676,=1.9880,=1.7961,=1.5088
2025-06-20,=1961.2100,=3216.3643,=2629215039382.2900,=2398781468597,=986365026743.0100,=1.8356,=0.5714,=1.9880,=1.7958,=1.5088
2025-06-19,=1973.7000,=3235.5114,=2648358176464.7905,=2416808036493,=993868181691.3101,=1.8479,=0.5924,=1.9881,=1.7954,=1.5083
2025-06-18,=1998.6400,=3274.1391,=2672735008659.0098,=2438402390243,=1001595590767.0200,=1.8602,=0.6155,=1.9881,=1.7953,=1.5083
2025-06-17,=1997.2600,=3270.3904,=2667873296498.1299,=2433859035311,=1000586184558.1600,=1.8561,=0.6087,=1.9881,=1.7951,=1.5083
2025-06-16,=1981.6100,=3244.7605,=2645233858439.7300,=2413368921300,=992879594419.1400,=1.8404,=0.6058,=1.9881,=1.7950,=1.5083
2025-06-13,=1982.7500,=3246.6276,=2649688224905.5103,=2420431618969,=998872512075.9198,=1.8593,=0.6139,=1.9881,=1.7948,=1.5083
2025-06-12,=1972.4500,=3228.7370,=2629277152138.8604,=2401952381838,=990552769257.5100,=1.8440,=0.5865,=1.9887,=1.7947,=1.5082
2025-06-11,=1979.3200,=3239.8005,=2638339362510.6602,=2409722340165,=992859441529.8900,=1.8503,=0.5990,=1.9887,=1.7945,=1.5082
2025-06-10,=1978.7900,=3238.9313,=2634764298773.5107,=2403497866485,=991012336244.7898,=1.8478,=0.5929,=1.9887,=1.7945,=1.5082
2025-06-09,=1981.3600,=3243.1363,=2636587465065.2402,=2404788024634,=991508676810.7300,=1.8490,=0.5955,=1.9887,=1.7944,=1.5082
2025-06-06,=1978.5100,=3238.4806,=2636338783670.1392,=2404370597820,=990911959335.0900,=1.8489,=0.5953,=1.9887,=1.7943,=1.5082
2025-06-05,=1973.2800,=3229.9208,=2625493326941.9507,=2394325970512,=986893540070.8302,=1.8413,=0.5837,=1.9890,=1.7942,=1.5079
2025-06-04,=1976.7500,=3235.5954,=2632133647082.8203,=2401127154440,=988977943954.7400,=1.8459,=0.5899,=1.9890,=1.7941,=1.5079
2025-06-03,=1979.7800,=3239.9927,=2645086931275.1289,=2413031573920,=993080928531.0800,=1.8542,=0.6047,=1.9890,=1.7940,=1.5079
2025-05-30,=1986.1500,=3250.4220,=2653009625202.4888,=2420998873990,=995942924130.9500,=1.8598,=0.6129,=1.9890,=1.7940,=1.5079
2025-05-29,=1998.9700,=3269.0081,=2664621221250.4805,=2432132088306,=1000874648618.2200,=1.8667,=0.6270,=1.9890,=1.7940,=1.5079
2025-05-28,=1997.0400,=3265.1419,=2670158150391.2598,=2437238589559,=1003143185675.1500,=1.8703,=0.6332,=1.9894,=1.7939,=1.5079
2025-05-27,=2004.6900,=3277.6427,=2672816074561.0400,=2438458562040,=1002967048388.4705,=1.8721,=0.6362,=1.9894,=1.7938,=1.5079
2025-05-26,=2008.2400,=3283.4612,=2679064819389.8003,=2443783985413,=1005166557779.1400,=1.8765,=0.6463,=1.9894,=1.7936,=1.5079
2025-05-23,=1991.7500,=3256.4945,=2662840802659.6504,=2430280207296,=1001114724246.2300,=1.8652,=0.6252,=1.9894,=1.7935,=1.5079
2025-05-22,=2015.6900,=3295.6260,=2696102621920.1001,=2461047026002,=1014799607156.2900,=1.8885,=0.6627,=1.9894,=1.7933,=1.5079
2025-05-21,=2030.9800,=3320.3631,=2703818983349.1689,=2466731532387,=1017002453644.3199,=1.8936,=0.6713,=1.9910,=1.7931,=1.5075
2025-05-20,=2023.7800,=3308.5890,=2698556171189.7104,=2461102849610,=1013744769951.1000,=1.8899,=0.6656,=1.9910,=1.7930,=1.5075
2025-05-19,=2002.2300,=3273.3476,=2670943946444.5903,=2436054763720,=1004033397983.7600,=1.8706,=0.6345,=1.9910,=1.7930,=1.5075
2025-05-16,=1984.9300,=3245.0802,=2642463896047.8799,=2410214965902,=994367569434.0200,=1.8506,=0.6014,=1.9910,=1.7929,=1.5075
2025-05-15,=1994.8300,=3261.2509,=2659941642210.6211,=2425659942051,=1000339995703.4998,=1.8628,=0.6231,=1.9910,=1.7929,=1.5075
2025-05-14,=1993.6900,=3259.3873,=2651919281274.5098,=2417472823273,=996608058744.2700,=1.8572,=0.6118,=1.9914,=1.7927,=1.5072
2025-05-13,=1984.9300,=3245.0772,=2637515230325.6211,=2403302033621,=990265156870.1896,=1.8471,=0.5946,=1.9914,=1.7925,=1.5072
2025-05-12,=1975.5000,=3229.6548,=2625421020688.7500,=2391957570684,=985300637298.8199,=1.8387,=0.5837,=1.9914,=1.7925,=1.5072
2025-05-09,=1981.2200,=3239.0082,=2633336547238.2808,=2398752685007,=987386040681.7000,=1.8442,=0.5911,=1.9914,=1.7924,=1.5072
2025-05-08,=1974.5200,=3228.0455,=2616133430675.4189,=2383814089424,=982360700088.6400,=1.8322,=0.5722,=1.9914,=1.7923,=1.5072
2025-05-07,=1968.5400,=3218.2798,=2610272824660.3604,=2378724678020,=980544716453.2898,=1.8281,=0.5633,=1.9917,=1.7923,=1.5069
2025-05-06,=1960.8700,=3205.7373,=2600323091287.0493,=2368638612349,=983854406022.5100,=1.8211,=0.5492,=1.9917,=1.7921,=1.5069
2025-04-30,=1941.8900,=3174.7005,=2590143810416.0400,=2360991681610,=981039989902.5200,=1.8140,=0.5331,=1.9917,=1.7919,=1.5069
2025-04-29,=1957.0500,=3199.4930,=2602632311616.7905,=2371820048419,=985845638439.6500,=1.8503,=0.6002,=1.9917,=1.7919,=1.5069
2025-04-28,=1990.9200,=3254.8599,=2642237218697.5195,=2405078431570,=992202636246,=1.8968,=0.6722,=1.9917,=1.7918,=1.5069
2025-04-25,=1982.9100,=3241.7739,=2629149854324.1792,=2392538977489,=984105168810.7100,=1.8920,=0.6677,=1.9920,=1.7917,=1.5067
2025-04-24,=1958.8600,=3202.4474,=2605419598361.4390,=2371662874292,=975506340157.3900,=1.8808,=0.6520,=1.9920,=1.7916,=1.5067
2025-04-23,=1941.7800,=3174.5344,=2588340765808.8501,=2355040050997,=967334788101.7500,=1.8726,=0.6375,=1.9920,=1.7915,=1.5067
2025-04-22,=1952.4100,=3191.9045,=2597577141719.6289,=2365062993898,=972276837078.4399,=1.8795,=0.6498,=1.9920,=1.7914,=1.5067
2025-04-21,=1952.8600,=3192.6383,=2593524365759.9497,=2361751109584,=972210473783.5800,=1.8766,=0.6464,=1.9920,=1.7913,=1.5067
2025-04-18,=1944.3000,=3178.6553,=2590824774711.8789,=2361656318757,=972896226277.8500,=1.8747,=0.6427,=1.9922,=1.7913,=1.5064
2025-04-17,=1953.8700,=3194.2911,=2596775776789.5796,=2365653704954,=972269745802.3198,=1.8802,=0.6509,=1.9922,=1.7913,=1.5064
2025-04-16,=1958.6200,=3202.0605,=2603094368991.0596,=2372499187388,=975618594233.9600,=1.8847,=0.6568,=1.9922,=1.7913,=1.5064
2025-04-15,=1955.8300,=3197.4975,=2597635856131.8999,=2366912874064,=972677475081.2900,=1.8811,=0.6523,=1.9922,=1.7911,=1.5064
2025-04-14,=1948.0300,=3184.7488,=2588379897986.6499,=2358698598160,=968594493943.2700,=1.8744,=0.6433,=1.9922,=1.7910,=1.5064
2025-04-11,=1921.5200,=3141.4033,=2560074456142.5195,=2333734611312,=960658560026.4100,=1.8559,=0.6111,=1.9923,=1.7909,=1.5060
2025-04-10,=1937.2800,=3167.1633,=2581810265178.4302,=2351882568032,=965362496362.8304,=1.8717,=0.6378,=1.9923,=1.7909,=1.5060
2025-04-09,=1932.6000,=3159.5167,=2587848338277.9600,=2358262754130,=968797182518.0898,=1.8762,=0.6465,=1.9923,=1.7908,=1.5060
2025-04-08,=1923.1400,=3144.0474,=2577833969922.8296,=2346553768660,=960013972376.8298,=1.8686,=0.6331,=1.9923,=1.7907,=1.5060
2025-04-07,=1874.3000,=3064.2054,=2509507051287.7290,=2285297626509,=935708641143.3700,=1.8191,=0.5467,=1.9923,=1.7907,=1.5060
2025-04-03,=1977.1600,=3232.3668,=2602524107835.7905,=2368516627129,=970321228051.6700,=1.8865,=0.6569,=1.9926,=1.7907,=1.5060
2025-04-02,=1945.5000,=3180.6059,=2552540400911.7788,=2323943625761,=953825161397.4200,=1.8503,=0.6038,=1.9926,=1.7906,=1.5060
