日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=808.0200,=1049.9300,=3773477211134.6602,=3102779815822,=1898972745361.6599,=1.4544,=0.2883,=2.0185,=1.7218,=1.3475
2025-07-08,=812.0400,=1054.9900,=3790932801358.2192,=3115758438846,=1908735534199.3401,=1.4609,=0.2915,=2.0185,=1.7218,=1.3475
2025-07-07,=802.5200,=1042.6200,=3747658625486.4902,=3079826823552,=1886638489363.5803,=1.4442,=0.2816,=2.0196,=1.7218,=1.3475
2025-07-04,=801.7600,=1041.6300,=3744354315238.3188,=3077213084711,=1884877851951.3799,=1.4430,=0.2803,=2.0196,=1.7220,=1.3475
2025-07-03,=801.7900,=1041.6600,=3744997107902.9302,=3076949840144,=1884876740068.7300,=1.4432,=0.2804,=2.0196,=1.7223,=1.3475
2025-07-02,=796.5600,=1034.8700,=3721428154662.7900,=3057832701668,=1872507330969.5295,=1.4341,=0.2771,=2.0196,=1.7223,=1.3475
2025-07-01,=799.9700,=1039.3100,=3736515289421.1699,=3069747735706,=1880508823879.8899,=1.4399,=0.2789,=2.0196,=1.7224,=1.3475
2025-06-30,=803.7000,=1044.1600,=3753462060835.8608,=3083646445367,=1889083426189.0703,=1.4465,=0.2821,=2.0197,=1.7225,=1.3471
2025-06-27,=807.4500,=1048.2300,=3772755939871.1211,=3100856683136,=1897693201564.9397,=1.4519,=0.2856,=2.0197,=1.7226,=1.3471
2025-06-26,=808.4100,=1048.8500,=3778208248198.7500,=3104577905900,=1900163694401.7903,=1.4531,=0.2861,=2.0197,=1.7229,=1.3471
2025-06-25,=822.3900,=1067,=3826135532290.0688,=3141181347241,=1928112014653.9399,=1.4715,=0.2961,=2.0197,=1.7232,=1.3471
2025-06-24,=779.7900,=1011.7200,=3656253970757.1499,=3002573412701,=1832972086252.7800,=1.4062,=0.2608,=2.0197,=1.7233,=1.3471
2025-06-23,=760.1400,=986.2400,=3563627392662.2603,=2926543160330,=1787080725017.7693,=1.3705,=0.2285,=2.0202,=1.7233,=1.3464
2025-06-20,=751.4900,=975.0100,=3521017531703.6694,=2891919972540,=1766858723799.8799,=1.3542,=0.2061,=2.0202,=1.7233,=1.3464
2025-06-19,=753.6700,=977.7300,=3533611035613.4507,=2901558086221,=1771726295928.4702,=1.3588,=0.2117,=2.0202,=1.7233,=1.3464
2025-06-18,=767.7800,=996.0300,=3593561171375.9199,=2955677465442,=1804713155410.1404,=1.3840,=0.2435,=2.0202,=1.7233,=1.3464
2025-06-17,=777.2900,=1008.3800,=3637789695779.8589,=2992997963912,=1826934945296.7600,=1.4011,=0.2574,=2.0202,=1.7234,=1.3464
2025-06-16,=774.5600,=1004.8300,=3622698496507.9199,=2981909850510,=1820573519013.3401,=1.3952,=0.2537,=2.0214,=1.7234,=1.3461
2025-06-13,=764.2800,=990.9500,=3570776127924.5098,=2938784235142,=1792723125968.8306,=1.3767,=0.2358,=2.0214,=1.7235,=1.3461
2025-06-12,=772.2500,=1001.2900,=3608919971990.9902,=2968801452516,=1811448284157.5803,=1.3915,=0.2501,=2.0214,=1.7239,=1.3461
2025-06-11,=773.6300,=1002.7700,=3615857607163.1812,=2973649254096,=1814371937865.1589,=1.3936,=0.2516,=2.0214,=1.7243,=1.3461
2025-06-10,=759.2400,=983.5900,=3548037526685.2998,=2919064508246,=1781024999425.3103,=1.3668,=0.2216,=2.0214,=1.7243,=1.3461
2025-06-09,=769.8000,=997.2700,=3597995522367.5391,=2959301850647,=1805862844768.5996,=1.3861,=0.2441,=2.0216,=1.7244,=1.3459
2025-06-06,=758.3300,=982.4100,=3542288190456.3198,=2916263504027,=1779148341798.2705,=1.3646,=0.2190,=2.0216,=1.7244,=1.3459
2025-06-05,=764.5200,=990.4400,=3573779862240.8188,=2942377000747,=1793522133487.8198,=1.3767,=0.2356,=2.0216,=1.7244,=1.3459
2025-06-04,=757.3300,=981.1200,=3539430335519.1387,=2914802770653,=1776366112021.9695,=1.3635,=0.2174,=2.0216,=1.7245,=1.3459
2025-06-03,=747.4000,=968.2600,=3493766000701.4707,=2877107171794,=1753231462648.5796,=1.3459,=0.2001,=2.0216,=1.7246,=1.3459
2025-05-30,=740.1800,=958.9000,=3461544109577.1611,=2850679552386,=1736123563001.3000,=1.3335,=0.1884,=2.0222,=1.7249,=1.3456
2025-05-29,=744.1400,=963.9600,=3477749539455.3003,=2863401707177,=1745603384215.5095,=1.3397,=0.1944,=2.0222,=1.7251,=1.3461
2025-05-28,=735.6900,=953.0100,=3439651757841.9595,=2831910170327,=1725727918438.4106,=1.3250,=0.1799,=2.0222,=1.7253,=1.3464
