日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-09,=11004,,=1616757631802.2505,=1442691256757,=848690085565.7040,=2.5888,=0.1189,=3.8237,=3.0129,=2.7092
2025-07-08,=11058.1600,=17523.2136,=1624726708092.7302,=1449534795810,=854034575739.0940,=2.6008,=0.1274,=3.8237,=3.0132,=2.7120
2025-07-07,=11007.6700,=17443.1954,=1621944330327.7400,=1446454365343,=853189901378.0792,=2.5963,=0.1244,=3.8237,=3.0134,=2.7128
2025-07-04,=11086.0600,=17567.4186,=1636069942472.7500,=1458844840676,=861245019037.7401,=2.6190,=0.1390,=3.8308,=3.0147,=2.7128
2025-07-03,=11100.9500,=17591.0151,=1632955087823.1899,=1456637556148,=858950078783.8849,=2.6140,=0.1337,=3.8308,=3.0159,=2.7130
2025-07-02,=11057.5800,=17522.2843,=1626552525222.4397,=1450883416072,=854917041732.3613,=2.6037,=0.1270,=3.8308,=3.0173,=2.7136
2025-07-01,=10974.2900,=17390.3001,=1612496174265.7202,=1439844163171,=846651691011.8489,=2.5812,=0.1104,=3.8308,=3.0187,=2.7140
2025-06-30,=10968.9300,=17381.8125,=1611404114820.1001,=1438622206608,=845518882717.1610,=2.5795,=0.1089,=3.8308,=3.0191,=2.7161
2025-06-27,=10922.4000,=17308.0710,=1608159907595.8503,=1435300515416,=845112735692.9330,=2.5743,=0.1014,=3.8310,=3.0195,=2.7161
2025-06-26,=10947.5900,=17347.9928,=1615073683711.2002,=1441885381238,=850043809651.4911,=2.5854,=0.1129,=3.8310,=3.0201,=2.7166
2025-06-25,=11013.9500,=17440.1376,=1611460205435.0100,=1438653495561,=845690721872.9220,=2.5779,=0.1053,=3.8310,=3.0207,=2.7169
2025-06-24,=10837.4200,=17160.6125,=1603446095397.5598,=1431320985112,=842202758073.5381,=2.5651,=0.0909,=3.8310,=3.0210,=2.7174
2025-06-23,=10654.8100,=16866.5688,=1580194509986.8596,=1409658725880,=829522436411.2571,=2.5271,=0.0482,=3.8310,=3.0213,=2.7176
2025-06-20,=10730.9300,=16987.0605,=1583623481587.0496,=1422295339288,=836062784134.9462,=2.5326,=0.0536,=3.8310,=3.0222,=2.7176
2025-06-19,=10752.9800,=17020.2510,=1577703226855.6399,=1416690819972,=831744889482.8862,=2.5229,=0.0459,=3.8310,=3.0231,=2.7180
