股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中证钢铁,930606,2019-12-23,926.91,910.99,929.67,910.57,86506,3422705120.0,0.0,0.0,0.0,0.0
中证钢铁,930606,2019-12-24,911.79,920.22,921.84,909.19,59037,2466555792.0,1.39,1.01,9.23,0.0
中证钢铁,930606,2019-12-25,919.5,915.91,920.41,910.79,59682,2441781408.0,1.05,-0.47,-4.31,0.0
中证钢铁,930606,2019-12-26,914.41,923.22,924.12,914.15,66272,2903142528.0,1.09,0.8,7.31,0.0
中证钢铁,930606,2019-12-27,923.67,928.25,938.34,922.88,114340,4251154304.0,1.67,0.54,5.03,0.01
中证钢铁,930606,2019-12-30,927.29,938.89,940.54,925.78,115217,4838071040.0,1.59,1.15,10.64,0.01
中证钢铁,930606,2019-12-31,937.98,944.41,946.71,932.21,113185,4805529856.0,1.54,0.59,5.52,0.01
中证钢铁,930606,2020-01-02,951.15,952.59,957.99,950.57,130175,5677991680.0,0.79,0.87,8.18,0.01
中证钢铁,930606,2020-01-03,953.86,950.59,954.8,946.72,103422,4203471120.0,0.85,-0.21,-2.0,0.01
中证钢铁,930606,2020-01-06,945.9,947.72,955.54,942.83,116900,4754492416.0,1.34,-0.3,-2.87,0.01
中证钢铁,930606,2020-01-07,948.99,966.24,966.96,948.46,157973,6315630336.0,1.95,1.95,18.52,0.01
中证钢铁,930606,2020-01-08,962.04,945.75,962.95,943.59,128541,5207756800.0,2.0,-2.12,-20.49,0.01
中证钢铁,930606,2020-01-09,953.46,951.74,955.62,946.88,84758,3553907632.0,0.92,0.63,5.99,0.0
中证钢铁,930606,2020-01-10,952.83,945.09,954.55,941.71,80314,3314010896.0,1.35,-0.7,-6.65,0.0
中证钢铁,930606,2020-01-13,944.26,948.91,948.92,935.58,74933,3171982464.0,1.41,0.4,3.82,0.0
中证钢铁,930606,2020-01-14,948.68,952.51,956.98,948.68,83389,3749577600.0,0.87,0.38,3.6,0.0
中证钢铁,930606,2020-01-15,951.99,942.94,951.99,940.64,73346,3204744352.0,1.19,-1.0,-9.57,0.0
中证钢铁,930606,2020-01-16,944.33,935.26,945.05,934.68,63416,2688066928.0,1.1,-0.81,-7.68,0.0
中证钢铁,930606,2020-01-17,937.05,933.45,940.06,932.2,61438,2627326752.0,0.84,-0.19,-1.81,0.0
中证钢铁,930606,2020-01-20,933.04,936.33,936.84,926.92,67901,2928077040.0,1.06,0.31,2.88,0.0
中证钢铁,930606,2020-01-21,935.39,917.99,935.39,916.65,81671,3349327280.0,2.0,-1.96,-18.34,0.0
中证钢铁,930606,2020-01-22,914.48,918.41,921.5,901.55,72315,3066025664.0,2.17,0.05,0.42,0.0
中证钢铁,930606,2020-01-23,912.21,889.7,912.73,884.33,103176,3949981056.0,3.09,-3.13,-28.71,0.01
中证钢铁,930606,2020-02-03,802.51,802.65,806.07,801.65,115105,3196693968.0,0.5,-9.78,-87.05,0.01
中证钢铁,930606,2020-02-04,766.4,806.89,810.29,766.4,150453,5087737088.0,5.47,0.53,4.24,0.01
中证钢铁,930606,2020-02-05,806.19,818.23,829.88,805.46,118061,4111924944.0,3.03,1.41,11.34,0.01
中证钢铁,930606,2020-02-06,821.34,823.1,825.96,812.93,106282,3609836400.0,1.59,0.6,4.87,0.01
中证钢铁,930606,2020-02-07,821.31,829.02,829.05,816.76,98090,3306095472.0,1.49,0.72,5.92,0.01
