date,time,code,open,high,low,close,volume,amount,adjustflag
2023-01-03,20230103103000000,sz.300015,31.1000,31.3000,30.5400,30.9500,11242155,345989472.0000,3
2023-01-03,20230103113000000,sz.300015,30.9400,30.9700,30.6700,30.8700,6126142,188910720.0000,3
2023-01-03,20230103140000000,sz.300015,30.8700,30.8700,30.1200,30.3100,15068635,458718944.0000,3
2023-01-03,20230103150000000,sz.300015,30.3100,30.6200,30.3100,30.5000,8975367,273666784.0000,3
2023-01-04,20230104103000000,sz.300015,30.5000,30.8400,30.3300,30.7000,8690229,266259916.0000,3
2023-01-04,20230104113000000,sz.300015,30.6900,30.9500,30.4800,30.8900,6077196,186748708.0000,3
2023-01-04,20230104140000000,sz.300015,30.8800,30.9600,30.6100,30.6300,4920609,151523424.0000,3
2023-01-04,20230104150000000,sz.300015,30.6300,30.7900,30.6300,30.6900,3565154,109484784.0000,3
2023-01-05,20230105103000000,sz.300015,30.6000,31.4800,30.5900,30.9200,17478662,543234160.0000,3
2023-01-05,20230105113000000,sz.300015,30.9100,30.9700,30.6800,30.9000,10353908,319090288.0000,3
2023-01-05,20230105140000000,sz.300015,30.9100,31.3300,30.9100,31.3000,9142854,285090224.0000,3
2023-01-05,20230105150000000,sz.300015,31.3000,31.5000,31.2100,31.2900,11982285,375864240.0000,3
2023-01-06,20230106103000000,sz.300015,31.2500,31.2600,30.4200,30.5600,17038733,522846848.0000,3
2023-01-06,20230106113000000,sz.300015,30.5600,30.8400,30.4100,30.7900,7051917,215616352.0000,3
2023-01-06,20230106140000000,sz.300015,30.7900,30.8300,30.4600,30.7600,6516504,199511216.0000,3
2023-01-06,20230106150000000,sz.300015,30.7600,30.8800,30.6000,30.7900,6175994,190169456.0000,3
2023-01-09,20230109103000000,sz.300015,30.6800,31.0700,30.4200,30.6400,13492368,413826624.0000,3
2023-01-09,20230109113000000,sz.300015,30.6500,30.9400,30.5900,30.8700,8059782,248263888.0000,3
2023-01-09,20230109140000000,sz.300015,30.9000,30.9100,30.6500,30.7900,5334501,164056464.0000,3
2023-01-09,20230109150000000,sz.300015,30.7800,30.9200,30.7300,30.7900,6050878,186442880.0000,3
2023-01-10,20230110103000000,sz.300015,30.7800,32.0700,30.5300,32.0100,25814828,813394560.0000,3
2023-01-10,20230110113000000,sz.300015,32.0000,32.0500,31.8900,31.9300,10404237,332866784.0000,3
2023-01-10,20230110140000000,sz.300015,31.9300,31.9600,31.7300,31.8500,6445588,205434000.0000,3
2023-01-10,20230110150000000,sz.300015,31.8500,32.0300,31.8400,31.9300,9342948,298634240.0000,3
2023-01-11,20230111103000000,sz.300015,32.0000,32.1000,31.6100,31.9300,10774781,343614560.0000,3
2023-01-11,20230111113000000,sz.300015,31.9300,32.0200,31.7800,31.7800,2578501,82232016.0000,3
2023-01-11,20230111140000000,sz.300015,31.7900,32.0000,31.7200,31.7600,4195290,133595488.0000,3
2023-01-11,20230111150000000,sz.300015,31.7500,31.8800,31.6800,31.7600,5741626,182351728.0000,3
2023-01-12,20230112103000000,sz.300015,31.6800,31.9900,31.6200,31.8800,8065125,256664074.0000,3
2023-01-12,20230112113000000,sz.300015,31.8700,31.9700,31.6700,31.7000,4910557,156271238.0000,3
2023-01-12,20230112140000000,sz.300015,31.6900,32.0000,31.6000,31.8600,5461701,173537104.0000,3
2023-01-12,20230112150000000,sz.300015,31.8600,31.9400,31.7800,31.8200,6315590,201182800.0000,3
2023-01-13,20230113103000000,sz.300015,32.0000,33.5600,31.7900,33.3200,27483709,904017936.0000,3
2023-01-13,20230113113000000,sz.300015,33.3100,33.5600,33.2600,33.4200,9817202,328116752.0000,3
2023-01-13,20230113140000000,sz.300015,33.4200,33.8900,33.3600,33.5700,15722326,529084800.0000,3
2023-01-13,20230113150000000,sz.300015,33.5600,33.7800,33.5500,33.7300,11210152,377702144.0000,3
2023-01-16,20230116103000000,sz.300015,33.7800,34.5800,33.7400,34.2900,30900097,1060442576.0000,3
2023-01-16,20230116113000000,sz.300015,34.3200,34.5500,34.2000,34.5200,8649665,297671456.0000,3
2023-01-16,20230116140000000,sz.300015,34.5200,34.5600,33.4000,33.5000,22078633,747165312.0000,3
2023-01-16,20230116150000000,sz.300015,33.5000,33.8100,33.3700,33.5800,12144138,407771168.0000,3
2023-01-17,20230117103000000,sz.300015,33.6700,34.1500,33.5800,33.9700,15908160,539082592.0000,3
2023-01-17,20230117113000000,sz.300015,33.9800,34.2000,33.8100,34.1900,8377728,285399744.0000,3
2023-01-17,20230117140000000,sz.300015,34.1700,34.1900,33.8700,33.9700,9741171,331444400.0000,3
