date,time,code,open,high,low,close,volume,amount,adjustflag
2023-01-03,20230103103000000,sh.605077,30.4900,31.0000,30.0000,30.6300,1368230,41966430.0000,3
2023-01-03,20230103113000000,sh.605077,30.6300,30.7700,30.3100,30.6000,299168,9142428.0000,3
2023-01-03,20230103140000000,sh.605077,30.5300,30.9100,30.4000,30.6800,407300,12479702.0000,3
2023-01-03,20230103150000000,sh.605077,30.6800,30.8500,30.6700,30.7700,290496,8936392.0000,3
2023-01-04,20230104103000000,sh.605077,30.7700,31.0000,30.3800,30.8000,715820,21978950.0000,3
2023-01-04,20230104113000000,sh.605077,30.8000,30.9300,30.4800,30.4800,279400,8591375.0000,3
2023-01-04,20230104140000000,sh.605077,30.4800,30.8300,30.4600,30.6400,289080,8855767.0000,3
2023-01-04,20230104150000000,sh.605077,30.6400,30.7300,30.5600,30.6400,296132,9075064.0000,3
2023-01-05,20230105103000000,sh.605077,30.7400,30.8400,30.3000,30.6300,608384,18632537.0000,3
2023-01-05,20230105113000000,sh.605077,30.6300,30.7200,30.5400,30.7100,223596,6854965.0000,3
2023-01-05,20230105140000000,sh.605077,30.6800,30.7200,30.4700,30.6000,426300,13033174.0000,3
2023-01-05,20230105150000000,sh.605077,30.6000,30.7600,30.5600,30.6700,317504,9738752.0000,3
2023-01-06,20230106103000000,sh.605077,30.4700,32.0700,30.4700,31.1500,3122596,98355826.0000,3
2023-01-06,20230106113000000,sh.605077,31.1500,31.2600,30.9600,31.0400,284021,8830068.0000,3
2023-01-06,20230106140000000,sh.605077,31.1200,31.4200,30.9300,31.3400,534751,16730224.0000,3
2023-01-06,20230106150000000,sh.605077,31.3300,31.4900,31.3200,31.3400,558668,17539933.0000,3
2023-01-09,20230109103000000,sh.605077,31.3000,31.8500,31.1000,31.5900,747221,23600998.0000,3
2023-01-09,20230109113000000,sh.605077,31.5900,31.7500,31.5600,31.6300,261280,8269807.0000,3
2023-01-09,20230109140000000,sh.605077,31.6300,31.8800,31.4600,31.6500,579140,18331420.0000,3
2023-01-09,20230109150000000,sh.605077,31.6500,31.6900,31.5300,31.6000,305100,9642553.0000,3
2023-01-10,20230110103000000,sh.605077,31.5000,31.8100,31.2200,31.4700,491028,15443151.0000,3
2023-01-10,20230110113000000,sh.605077,31.4700,31.6400,31.3900,31.5600,173316,5465286.0000,3
2023-01-10,20230110140000000,sh.605077,31.5600,31.6300,31.4800,31.5500,245680,7753004.0000,3
